ID,Time,Sex,Age,Weight,PrExp,Ketamine,Isoflurane,NormalizedTotalKetamineIsoflurane,DexdomitorandAtipamezole,SexKetamine,SexIsoflurane,KetamineDexdomitorAtipamezole,SexKetamineDexdomitorAtipamezole,01_cst_r_frontal,02_opt_r,03_optr_r_inferior,04_opt_l,05_optr_l_superior,06_cc3v,07_ccg_32,08_fornix_r,09_cst_l_frontal,10_cc5v,11_icp_r,12_scp_r,13_cc1d,14_cst_l_parietal,15_cg_r,16_cc3d,17_uf_l_lateral,18_cc_tapetum_inf,19_uf_r_lateral,20_ilf_l,21_ilf_r,22_cc1v,23_ccs,24_scp_l,25_ccg_ant,26_icp_l,27_uf_r_medial,28_cc_tapetum_sup,29_optr_r_superior,30_cg_l,31_uf_l_medial,32_cc4d,33_optr_l_inferior,34_cst_r_parietal,35_fornix_l
1,12,1,360,1.9,0,0,0,0,0,0,0,0,0,0.52708,0.39976,0.47913,0.37972,0.4797,0.53294,0.33051,0.400978571,0.53501,0.51319,0.36382,0.4297,0.46716,0.55105,0.4055,0.4726,0.429,0.360428583,0.40243,0.41546,0.41749,0.5072,0.49802,0.42454,0.45235,0.36475,0.34794,0.305375714,0.50672,0.39738,0.36415,0.3936,0.45452,0.52654,0.387385
1,16,1,493,2.6,1,20,0,2,0.165,20,0,20.165,20.165,0.54577,0.3957,0.48197,0.38256,0.49709,0.55551,0.33251,0.401912857,0.55162,0.52978,0.3471,0.42325,0.48277,0.55824,0.4389,0.48953,0.41158,0.363179,0.39944,0.42543,0.42872,0.51193,0.51231,0.4218,0.44969,0.36998,0.34775,0.313762653,0.50991,0.44369,0.362,0.40786,0.47145,0.53742,0.3981325
1,20,1,605,2.76,2,35,0,3.5,0.33,35,0,35.33,35.33,0.52855,0.38811,0.47879,0.36113,0.48902,0.55355,0.33404,0.40109,0.53676,0.53405,0.34546,0.44128,0.4893,0.54159,0.41088,0.48333,0.41873,0.340274667,0.40066,0.41388,0.42602,0.52415,0.51475,0.43579,0.46099,0.36288,0.35272,0.30429449,0.50383,0.42512,0.36286,0.42355,0.46471,0.52019,0.387657083
1,24,1,758,3.16,3,50,0,5,0.495,50,0,50.495,50.495,0.54293,0.38151,0.47747,0.36762,0.4926,0.55976,0.33077,0.408912857,0.54559,0.53528,0.32638,0.42427,0.49254,0.54716,0.45108,0.49282,0.41494,0.353198417,0.41139,0.42032,0.43226,0.52544,0.51616,0.43602,0.46155,0.37292,0.35837,0.307057551,0.50899,0.43286,0.36858,0.43284,0.46793,0.52816,0.390295417
1,28,1,863,3.4,4,65,0,6.5,0.66,65,0,65.66,65.66,0.54526,0.38611,0.49136,0.36885,0.49692,0.5767,0.33097,0.400152857,0.54272,0.54434,0.3543,0.43859,0.50581,0.54737,0.4344,0.50051,0.42596,0.353750917,0.40814,0.42782,0.43997,0.53784,0.52834,0.43336,0.46594,0.37364,0.36913,0.306470816,0.51882,0.43537,0.37061,0.43835,0.47242,0.52982,0.398831667
2,12,0,363,2.22,0,0,0,0,0,0,0,0,0,0.53068,0.38566,0.47337,0.35576,0.49137,0.53669,0.29495,0.416095714,0.52743,0.50319,0.35497,0.42973,0.46449,0.52039,0.37922,0.45087,0.4148,0.337626,0.37632,0.41955,0.42405,0.5255,0.50665,0.42469,0.40295,0.3896,0.27482,0.324197551,0.50796,0.36256,0.28121,0.35851,0.46596,0.5147,0.40311
2,16,0,496,2.66,1,30,0,3,0.18,0,0,30.18,0,0.54885,0.39135,0.49509,0.36559,0.51061,0.55148,0.28223,0.43527,0.53711,0.51412,0.40528,0.44384,0.4729,0.53487,0.41145,0.45535,0.41471,0.3278205,0.37588,0.43875,0.45904,0.52531,0.52152,0.44658,0.39809,0.4289,0.26189,0.330926531,0.51689,0.39423,0.26793,0.36349,0.49045,0.53246,0.410615
2,20,0,608,2.8,2,45,0,4.5,0.345,0,0,45.345,0,0.54521,0.39392,0.4915,0.36249,0.51232,0.56018,0.29388,0.427155714,0.55216,0.51897,0.41537,0.44509,0.47933,0.54084,0.40474,0.46992,0.42766,0.337597417,0.38685,0.4416,0.44713,0.54458,0.52583,0.43334,0.40925,0.40078,0.29025,0.325869184,0.51856,0.37721,0.29809,0.37111,0.48777,0.52984,0.415841667
2,24,0,761,3.36,3,60,0,6,0.51,0,0,60.51,0,0.55093,0.38099,0.49482,0.3649,0.50769,0.56733,0.29265,0.437967143,0.55837,0.5228,0.3851,0.44754,0.48719,0.54404,0.43904,0.48152,0.41596,0.3407985,0.39548,0.44053,0.45657,0.53817,0.52864,0.44529,0.40888,0.41059,0.26414,0.328304694,0.52966,0.39889,0.30097,0.39432,0.48168,0.53548,0.409780833
2,28,0,866,3.78,4,75,0,7.5,0.675,0,0,75.675,0,0.57103,0.38718,0.49947,0.35464,0.51174,0.57975,0.28942,0.418598571,0.55799,0.52548,0.40729,0.45311,0.4767,0.54457,0.42115,0.48452,0.43652,0.344785333,0.38167,0.44157,0.4561,0.53383,0.538,0.44794,0.40804,0.42526,0.28145,0.315210612,0.53274,0.40281,0.30351,0.39578,0.48543,0.54437,0.39803875
4,16,0,482,3.08,0,0,0,0,0,0,0,0,0,0.50486,0.38049,0.4722,0.35262,0.47527,0.5103,0.31009,0.398054286,0.50499,0.47641,0.40077,0.44225,0.46084,0.50471,0.34426,0.41545,0.38968,0.313357333,0.39677,0.3974,0.40128,0.5166,0.45879,0.42749,0.43854,0.36981,0.33959,0.288530816,0.50579,0.33584,0.26015,0.36939,0.4526,0.49755,0.389435
4,20,0,601,3.26,1,15,0,1.5,0.165,0,0,15.165,0,0.51372,0.36896,0.46088,0.35287,0.4697,0.50971,0.32051,0.388525714,0.49967,0.47419,0.37856,0.44342,0.48021,0.50092,0.36256,0.42072,0.38818,0.30639525,0.40422,0.39063,0.39177,0.52079,0.46194,0.43171,0.45408,0.38042,0.3709,0.278124694,0.50161,0.34032,0.2783,0.36799,0.44133,0.50281,0.390745417
4,24,0,727,4.02,2,30,0,3,0.33,0,0,30.33,0,0.51528,0.38266,0.46731,0.35618,0.47687,0.51726,0.32228,0.392585714,0.49263,0.49281,0.38781,0.4376,0.46686,0.49843,0.35066,0.4202,0.37993,0.2999885,0.3998,0.40055,0.41004,0.52029,0.47443,0.42591,0.44779,0.38352,0.36698,0.277826939,0.49927,0.33885,0.31137,0.38675,0.45916,0.49902,0.384140417
4,28,0,853,4,3,45,0,4.5,0.495,0,0,45.495,0,0.53025,0.38978,0.48456,0.35184,0.49149,0.53454,0.31726,0.40584,0.51266,0.5005,0.40867,0.44128,0.47367,0.51364,0.39474,0.42963,0.37422,0.322832417,0.41518,0.41263,0.42417,0.51156,0.47917,0.42611,0.4427,0.41279,0.35776,0.290102653,0.52135,0.3599,0.30272,0.39029,0.46201,0.5142,0.393760417
4,32,0,972,4.938,4,65,0,6.5,0.66,0,0,65.66,0,0.54228,0.40032,0.49134,0.36203,0.49376,0.54192,0.32522,0.42805,0.52874,0.50784,0.41677,0.45522,0.49512,0.52766,0.40522,0.43544,0.3972,0.329435083,0.41005,0.40971,0.42724,0.52856,0.49351,0.43724,0.4615,0.40688,0.33828,0.285663469,0.52643,0.37408,0.30174,0.39777,0.47307,0.52328,0.406912917
5,20,1,601,2.68,0,0,0,0,0,0,0,0,0,0.53801,0.35908,0.48143,0.35831,0.49751,0.52663,0.3582,0.36908,0.52824,0.52996,0.38414,0.46458,0.52445,0.53123,0.37729,0.46361,0.43322,0.325805083,0.41921,0.43413,0.43504,0.56545,0.534,0.4668,0.47205,0.38302,0.37402,0.304792857,0.53051,0.36795,0.33992,0.41089,0.47296,0.52911,0.389182917
5,24,1,727,3.06,1,15,0,1.5,0.165,15,0,15.165,15.165,0.53228,0.35221,0.48291,0.31039,0.49071,0.52663,0.33391,0.378667143,0.51742,0.52191,0.35409,0.47858,0.51087,0.52296,0.37377,0.45158,0.41968,0.3428755,0.4124,0.42426,0.44474,0.55905,0.53043,0.47704,0.4494,0.3765,0.34118,0.286753061,0.52299,0.3627,0.30779,0.4018,0.46693,0.52695,0.3595375
5,28,1,846,3.34,2,30,0,3,0.33,30,0,30.33,30.33,0.54487,0.38092,0.49222,0.34766,0.49485,0.53668,0.34655,0.39357,0.533,0.5345,0.37945,0.46826,0.52139,0.53742,0.38396,0.47136,0.42892,0.33775625,0.42077,0.42176,0.44227,0.5701,0.54099,0.46617,0.46409,0.35463,0.36367,0.302564082,0.52923,0.37934,0.32298,0.42507,0.46458,0.53391,0.380915833
5,32,1,958,3.78,3,70,0,7,0.66,70,0,70.66,70.66,0.53768,0.34851,0.4775,0.33299,0.4964,0.5363,0.33625,0.378871429,0.53472,0.52584,0.36224,0.46599,0.50971,0.5344,0.39441,0.46814,0.42083,0.3465545,0.42497,0.44166,0.44044,0.54926,0.53906,0.47905,0.45891,0.35833,0.34505,0.297414898,0.52473,0.39401,0.33255,0.42781,0.47211,0.52211,0.3752775
5,36,1,1090,4.66,4,85,0,8.5,0.825,85,0,85.825,85.825,0.57185,0.3545,0.49806,0.34,0.49901,0.55723,0.3382,0.39193,0.56232,0.54057,0.37901,0.4737,0.52228,0.55664,0.4283,0.48239,0.41794,0.35991625,0.4203,0.44066,0.46353,0.54923,0.56161,0.46587,0.4573,0.38404,0.34545,0.305636122,0.5384,0.4114,0.32299,0.44555,0.47645,0.554,0.398070833
6,20,0,584,3.12,0,0,0,0,0,0,0,0,0,0.56234,0.37598,0.48048,0.37783,0.50467,0.56124,0.35552,0.423955714,0.56335,0.53225,0.36875,0.43223,0.49128,0.55247,0.42457,0.47022,0.44232,0.3395645,0.44059,0.46083,0.44671,0.53938,0.53104,0.43047,0.48004,0.36225,0.35608,0.319526122,0.52738,0.43494,0.41642,0.42909,0.47754,0.54439,0.41384375
6,24,0,709,3.62,1,15,0,1.5,0.165,0,0,15.165,0,0.57525,0.36702,0.47781,0.36933,0.49978,0.56098,0.33868,0.421381429,0.553,0.52438,0.36045,0.42498,0.49056,0.54562,0.41674,0.46308,0.42204,0.341053083,0.41746,0.46521,0.44641,0.53618,0.52326,0.43383,0.45858,0.37316,0.3345,0.310133061,0.51631,0.4247,0.37712,0.41399,0.46698,0.55787,0.415985833
6,28,0,828,4.22,2,35,0,3.5,0.33,0,0,35.33,0,0.58477,0.38942,0.49311,0.38349,0.53524,0.60142,0.35265,0.438448571,0.58907,0.55748,0.39731,0.45762,0.51361,0.57308,0.475,0.49588,0.43473,0.368527667,0.43936,0.49675,0.4766,0.54047,0.56338,0.45683,0.48898,0.40581,0.36629,0.31629898,0.54982,0.4739,0.3909,0.46007,0.50169,0.56348,0.43698125
6,32,0,940,4.98,3,50,0,5,0.495,0,0,50.495,0,0.56413,0.37704,0.49468,0.3846,0.52197,0.58901,0.33514,0.442098571,0.58544,0.54856,0.38279,0.44868,0.49786,0.5692,0.4627,0.48599,0.41957,0.366372833,0.40946,0.47393,0.47282,0.52689,0.54836,0.45094,0.46318,0.38475,0.32952,0.320348776,0.54138,0.45905,0.35621,0.45156,0.49245,0.53399,0.42545375
